Order Year-Month,Total_Sales,Total_Orders,Total_Quantity,Total_Profit,MoM_Sales_Growth_%
2014-01,14236.9,32,284,2450.17,
2014-02,4519.92,28,159,862.3,-68.25
2014-03,55691.02,71,585,498.7,1132.12
2014-04,28295.35,66,536,3488.83,-49.19
2014-05,23648.27,69,466,2738.72,-16.42
2014-06,34595.12,66,521,4976.55,46.29
2014-07,33946.37,65,550,-841.47,-1.88
2014-08,27909.47,72,609,5318.07,-17.78
2014-09,81777.32,130,1000,8328.07,193.01
2014-10,31453.37,78,573,3448.21,-61.54
2014-11,78628.73,151,1219,9292.13,149.99
2014-12,69545.63,141,1079,8983.58,-11.55
2015-01,18174.08,29,236,-3280.97,-73.87
2015-02,11951.4,36,239,2813.84,-34.24
2015-03,38726.26,79,515,9732.06,224.03
2015-04,34195.25,72,543,4187.53,-11.7
2015-05,30131.72,74,575,4667.83,-11.88
2015-06,24797.3,68,486,3335.54,-17.7
2015-07,28765.3,66,557,3288.67,16.0
2015-08,36898.31,68,598,5355.82,28.27
2015-09,64595.87,140,1086,8209.13,75.06
2015-10,31404.9,87,631,2817.34,-51.38
2015-11,75972.49,158,1310,12474.76,141.91
2015-12,74919.51,161,1203,8016.89,-1.39
2016-01,18542.52,48,358,2824.82,-75.25
2016-02,22978.82,45,306,5004.57,23.93
2016-03,51715.85,86,579,3611.96,125.06
2016-04,38750.02,89,635,2977.85,-25.07
2016-05,56987.75,108,863,8662.09,47.07
2016-06,40344.52,97,742,4750.32,-29.2
2016-07,39261.98,96,758,4432.84,-2.68
2016-08,31115.35,90,693,2062.05,-20.75
2016-09,73410.07,192,1316,9328.6,135.93
2016-10,59687.79,105,767,16243.2,-18.69
2016-11,79412.01,183,1406,4011.37,33.05
2016-12,96999.06,176,1414,17885.23,22.15
2017-01,43971.37,69,597,7140.44,-54.67
2017-02,20301.12,53,363,1613.88,-53.83
2017-03,58872.35,118,885,14751.87,190.0
2017-04,36521.51,116,733,933.24,-37.96
2017-05,44261.08,118,887,6342.65,21.19
2017-06,52981.7,133,931,8223.4,19.7
2017-07,45264.42,111,840,6952.59,-14.57
2017-08,63120.85,111,884,9041.02,39.45
2017-09,87866.64,226,1660,10991.52,39.2
2017-10,77776.91,147,1133,9275.31,-11.48
2017-11,118447.8,261,1840,9690.1,52.29
2017-12,83829.3,224,1723,8483.32,-29.23
